date,Alappuzha,Ernakulam,Idduki,Kannur,Kasargod,Kollam,Kottayam,Kozhikode,Malapuram,Palakad,Pathanamthitta,Thrissur,Trivandrum,Wayanad,Average,Rounded Average
1/6/2020,2,3,1,0,14,5,0,0,14,2,4,9,3,0,4.071428571,4
2/6/2020,10,3,9,5,9,8,6,6,15,5,1,6,7,6,6.857142857,7
3/6/2020,7,5,3,2,3,5,8,2,11,5,2,4,14,2,5.214285714,5
4/6/2020,8,2,3,6,12,11,5,3,8,7,14,4,5,3,6.5,7
5/6/2020,5,10,1,12,1,2,1,2,18,40,11,8,5,2,8.428571429,8
6/6/2020,4,3,0,2,10,19,2,6,12,11,9,16,3,6,7.357142857,7
7/6/2020,7,3,4,4,3,9,3,4,27,6,13,26,4,4,8.357142857,8
8/6/2020,5,4,1,5,8,5,3,1,14,1,3,27,3,1,5.785714286,6
9/6/2020,11,4,4,4,2,5,8,1,6,14,7,6,10,1,5.928571429,6
10/6/2020,1,2,2,7,0,4,3,1,7,6,3,9,6,1,3.714285714,4
11/6/2020,13,5,2,3,10,8,2,0,10,13,5,25,0,0,6.857142857,7
12/6/2020,9,7,6,14,4,4,3,3,14,5,7,14,1,3,6.714285714,7
13/06/2020,0,7,2,4,9,1,1,0,15,8,1,4,0,0,3.714285714,4
14/06/2020,5,13,1,10,6,4,3,4,3,6,2,7,4,4,5.142857143,5
15/06/2020,7,13,11,7,3,4,10,5,6,7,11,3,1,5,6.642857143,7
16/06/2020,1,5,4,4,2,14,4,5,15,6,6,7,4,5,5.857142857,6
17/06/2020,9,6,6,4,9,13,4,2,11,6,1,8,3,2,6,6
18/06/2020,13,11,3,8,3,17,11,2,4,14,11,6,5,2,7.857142857,8
19/06/2020,4,3,2,4,4,24,7,2,18,10,9,1,8,2,7,7
20/06/2020,10,5,2,10,7,13,11,5,5,23,17,6,5,5,8.857142857,9
21/06/2020,12,14,4,3,6,13,10,5,10,15,8,16,9,5,9.285714286,9
22/06/2020,19,13,5,6,9,4,13,5,17,16,4,12,11,5,9.928571429,10
23/06/2020,15,8,0,17,6,18,8,0,11,27,27,14,4,0,11.07142857,11
24/06/2020,18,10,1,9,4,13,7,3,10,16,25,15,4,3,9.857142857,10
25/06/2020,21,9,8,13,2,16,2,1,6,24,13,10,2,1,9.142857143,9
26/06/2020,13,14,2,11,11,12,18,1,16,23,4,7,7,1,10,10
27/06/2020,10,7,2,26,6,10,15,2,47,25,6,22,4,2,13.14285714,13
28/06/2020,5,5,6,14,4,11,5,6,5,4,3,17,9,6,7.142857143,7
29/06/2020,9,10,6,26,8,12,0,8,14,12,13,26,4,8,11.14285714,11
30/06/2020,8,12,1,27,10,3,3,3,32,17,1,4,5,3,9.214285714,9
1/7/2020,16,9,20,9,5,9,4,14,34,17,6,16,4,14,12.64285714,13
2/7/2020,21,17,20,18,7,23,9,7,24,18,27,9,9,7,15.42857143,15
3/7/2020,20,13,12,35,14,16,14,0,35,14,7,21,17,0,15.57142857,16
4/7/2020,13,12,5,25,28,10,6,11,37,29,22,20,16,11,17.5,18
5/7/2020,15,25,16,11,6,11,8,19,26,29,3,12,27,19,16.21428571,16
6/7/2020,18,21,4,19,13,11,6,14,35,8,26,14,7,14,15,15
7/7/2020,18,16,55,22,4,8,3,12,63,29,12,10,54,12,22.71428571,23
8/7/2020,22,12,26,8,11,10,17,4,46,25,7,25,64,4,20.07142857,20
9/7/2020,50,20,11,23,17,28,7,13,55,50,7,27,95,13,29.71428571,30
10/7/2020,87,47,28,19,18,18,7,28,41,28,32,17,129,28,37.64285714,38
11/7/2020,57,50,49,17,56,5,15,26,51,48,54,29,69,26,39.42857143,39
12/7/2020,119,15,24,44,9,33,12,1,42,59,39,19,40,1,32.64285714,33
13/07/2020,34,70,0,12,44,23,10,26,47,19,47,9,63,26,30.71428571,31
14/07/2020,20,72,43,35,74,11,25,17,58,26,3,42,201,17,46,46
15/07/2020,20,57,63,23,18,42,25,4,18,19,64,5,157,4,37.07142857,37
16/07/2020,57,115,29,9,32,47,13,10,42,25,39,32,339,10,57.07142857,57
17/07/2020,42,44,40,39,29,53,39,15,25,31,87,32,246,15,52.64285714,53
18/07/2020,52,98,48,13,57,75,16,17,19,49,28,21,173,17,48.78571429,49
19/07/2020,53,72,70,48,28,79,20,28,25,81,35,61,222,28,60.71428571,61
20/07/2020,46,80,7,57,40,85,46,17,50,49,3,42,182,17,51.5,52
