Date,Contact
6-01-2020,4
6-02-2020,10
6-03-2020,3
6-04-2020,15
6-05-2020,13
6-06-2020,18
6-07-2020,13
6-08-2020,11
6-09-2020,29
6-10-2020,21
6-11-2020,18
6-12-2020,37
13/06/2020,40
14/06/2020,46
15/06/2020,36
16/06/2020,37
17/06/2020,55
18/06/2020,41
19/06/2020,39
20/06/2020,62
21/06/2020,69
22/06/2020,70
23/06/2020,57
24/06/2020,93
25/06/2020,67
26/06/2020,71
27/06/2020,63
28/06/2020,71
29/06/2020,56
30/06/2020,71
7-01-2020,59
7-02-2020,75
7-03-2020,85
7-04-2020,79
7-05-2020,16
7-06-2020,11
7-07-2020,46
7-08-2020,44
7-09-2020,32
7-10-2020,93
7-11-2020,74
7-12-2020,87
13/07/2020,36
14/07/2020,79
15/07/2020,76
16/07/2020,14
17/07/2020,69
18/07/2020,86
19/07/2020,82
20/07/2020,104
21/07/2020,93
22/07/2020,105
23/07/2020,89
24/07/2020,85
25/07/2020,99
26/07/2020,87
27/07/2020,88
28/07/2020,45
29/07/2020,29
30/07/2020,38
31/07/2020,20
8-01-2020,65
8-02-2020,47
8-03-2020,21
8-04-2020,28
8-05-2020,34
8-06-2020,86
8-07-2020,96
8-08-2020,102
8-09-2020,98
8-10-2020,96
8-11-2020,102
8-12-2020,101
13/08/2020,87
14/08/2020,89
15/08/2020,83
16/08/2020,88
17/08/2020,94
18/08/2020,81
19/08/2020,81
20/08/2020,100
21/08/2020,109
22/08/2020,153
23/08/2020,160
24/08/2020,95
25/08/2020,175
26/08/2020,175
27/08/2020,193
28/08/2020,229
29/08/2020,197
30/08/2020,174
31/08/2020,136
9-01-2020,932
9-02-2020,156
9-03-2020,156
9-04-2020,149
9-05-2020,220
9-06-2020,181
9-07-2020,105
9-08-2020,237
9-09-2020,235
9-10-2020,266
9-11-2020,285
9-12-2020,287
13/09/2020,251
14/09/2020,212
15/09/2020,285
16/09/2020,350
17/09/2020,351
18/09/2020,410
19/09/2020,498
20/09/2020,459
21/09/2020,313
22/09/2020,412
23/09/2020,640
24/09/2020,628
25/09/2020,713
26/09/2020,664
27/09/2020,561
28/09/2020,249
29/09/2020,672
30/09/2020,784
10-01-2020,730
10-02-2020,657
10-03-2020,648
10-04-2020,716
10-05-2020,450
10-06-2020,640
10-07-2020,741
10-08-2020,502
10-09-2020,757
10-10-2020,952
10-11-2020,821
10-12-2020,834
13/10/2020,528
14/10/2020,364
15/10/2020,1049
16/10/2020,1158
17/10/2020,1321
18/10/2020,723
19/10/2020,647
20/10/2020,707
21/10/2020,883
22/10/2020,844
23/10/2020,1012
24/10/2020,939
25/10/2020,908
26/10/2020,471
27/10/2020,607
28/10/2020,872
29/10/2020,734
30/10/2020,700
31/10/2020,786
11-01-2020,712
11-02-2020,438
11-03-2020,783
11-04-2020,879
11-05-2020,730
11-06-2020,646
11-07-2020,728
11-08-2020,585
11-09-2020,409
11-10-2020,653
11-11-2020,717
11-12-2020,653
13/11/2020,643
14/11/2020,645
15/11/2020,527
16/11/2020,269
17/11/2020,639
18/11/2020,677
19/11/2020,643
20/11/2020,654
21/11/2020,639
22/11/2020,662
23/11/2020,377
24/11/2020,592
25/11/2020,663
26/11/2020,582
27/11/2020,488
28/11/2020,628
29/11/2020,571
30/11/2020,405
12-01-2020,617
12-02-2020,634
12-03-2020,527
12-04-2020,572
12-05-2020,613
12-06-2020,534
12-07-2020,328
12-08-2020,517
12-09-2020,508
12-10-2020,498
12-11-2020,496
12-12-2020,646
13/12/2020,528
14/12/2020,328
15/12/2020,622
16/12/2020,770
17/12/2020,541
18/12/2020,606
19/12/2020,593
20/12/2020,501
21/12/2020,359
22/12/2020,575
23/12/2020,662
24/12/2020,475
25/12/2020,576
26/12/2020,324
27/12/2020,471
28/12/2020,275
29/12/2020,555
30/12/2020,460
31/12/2020,405
