date,Cases
01-06-2020,57
02-06-2020,86
03-06-2020,82
04-06-2020,94
05-06-2020,111
06-06-2020,108
07-06-2020,107
08-06-2020,91
09-06-2020,91
10-06-2020,65
11-06-2020,83
12-06-2020,78
13-06-2020,85
14-06-2020,54
15-06-2020,82
16-06-2020,79
17-06-2020,75
18-06-2020,97
19-06-2020,118
20-06-2020,127
21-06-2020,133
22-06-2020,138
23-06-2020,141
24-06-2020,152
25-06-2020,123
26-06-2020,150
27-06-2020,195
28-06-2020,118
29-06-2020,122
30-06-2020,131
01-07-2020,151
02-07-2020,160
03-07-2020,211
04-07-2020,240
05-07-2020,225
06-07-2020,193
07-07-2020,272
08-07-2020,301
09-07-2020,339
10-07-2020,416
11-07-2020,488
12-07-2020,435
13-07-2020,449
14-07-2020,608
15-07-2020,623
16-07-2020,722
17-07-2020,791
18-07-2020,593
19-07-2020,821
20-07-2020,794
21-07-2020,720
22-07-2020,1038
23-07-2020,1078
24-07-2020,885
25-07-2020,1103
26-07-2020,927
27-07-2020,702
28-07-2020,1167
29-07-2020,903
30-07-2020,506
31-07-2020,1310
01-08-2020,1129
02-08-2020,1169
03-08-2020,962
04-08-2020,1083
05-08-2020,1195
06-08-2020,1298
07-08-2020,1251
08-08-2020,1420
09-08-2020,1211
10-08-2020,1184
11-08-2020,1417
12-08-2020,1212
13-08-2020,1564
14-08-2020,1569
15-08-2020,1608
16-08-2020,1530
17-08-2020,1725
18-08-2020,1758
19-08-2020,2333
20-08-2020,1968
21-08-2020,1983
22-08-2020,2172
23-08-2020,1908
24-08-2020,1242
25-08-2020,2375
26-08-2020,2476
27-08-2020,2406
28-08-2020,2543
29-08-2020,2397
30-08-2020,2154
31-08-2020,1530
01-09-2020,1140
02-09-2020,1547
03-09-2020,1553
04-09-2020,2479
05-09-2020,2655
06-09-2020,3082
07-09-2020,1648
08-09-2020,3026
09-09-2020,3402
10-09-2020,3349
11-09-2020,2988
12-09-2020,2885
13-09-2020,3139
14-09-2020,2540
15-09-2020,3215
16-09-2020,3830
17-09-2020,4351
18-09-2020,4167
19-09-2020,4644
20-09-2020,4696
21-09-2020,2910
22-09-2020,4125
23-09-2020,5376
24-09-2020,6324
25-09-2020,6477
26-09-2020,7006
27-09-2020,7445
28-09-2020,4538
29-09-2020,7354
30-09-2020,8830
01-10-2020,8135
02-10-2020,9258
03-10-2020,7834
04-10-2020,8553
05-10-2020,5042
06-10-2020,7871
07-10-2020,10606
08-10-2020,5445
09-10-2020,9250
10-10-2020,11755
11-10-2020,9347
12-10-2020,5930
13-10-2020,8764
14-10-2020,6244
15-10-2020,7789
16-10-2020,7283
17-10-2020,9016
18-10-2020,7631
19-10-2020,5022
20-10-2020,6591
21-10-2020,8369
22-10-2020,7482
